번호,낚시터명,낚시터유형,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도
337,오뚜기,바다,충청남도 태안군 고남면 젓개길 276-1,충청남도 태안군 고남면 젓개길 276-1,36.43592403,126.430585
338,달빛좌대,바다,충청남도 태안군 안면읍 안면대로 2984-4,충청남도 태안군 안면읍 안면대로 2984-4,36.51129018,126.347753
339,오형제,바다,충청남도 태안군 고남면 젓개길 276-1,충청남도 태안군 고남면 젓개길 276-1,36.43592403,126.430585
340,매일좌대,바다,충청남도 태안군 고남면 빗독2길 2,충청남도 태안군 고남면 빗독2길 2,36.423297,126.409575
341,그린바다,바다,충청남도 태안군 고남면 젓개길 274-3,충청남도 태안군 고남면 젓개길 274-3,36.435815,126.4307282
342,수평선좌대,바다,충청남도 태안군 고남면 옷점길 147-46,충청남도 태안군 고남면 옷점길 147-46,36.41310226,126.400991
343,호포유어,바다,충청남도 태안군 안면읍 여수해길 126-139,충청남도 태안군 안면읍 여수해길 126-139,36.55435297,126.3724757
344,의항리해상공원,바다,충청남도 태안군 소원면 송의로 698,충청남도 태안군 소원면 송의로 698,36.82964098,126.1616348
345,김선장낚시터,바다,충청남도 서산시 대산읍 화곡리 1845 지선,충청남도 서산시 대산읍 화곡리 1845 지선,35.2672,129.0183
346,대호낚시터,바다,충청남도 서산시 대산읍 화곡리 1845 지선,충청남도 서산시 대산읍 화곡리 1845 지선,35.2672,129.0183
347,우리낚시터,바다,충청남도 서산시 대산읍 화곡리 1891지선,충청남도 서산시 대산읍 화곡리 1891지선,35.2672,129.0183
348,백련낚시터,바다,충청남도 서산시 대산읍 화곡리 1891지선,충청남도 서산시 대산읍 화곡리 1891지선,35.2672,129.0183
349,항구낚시터,바다,충청남도 서산시 대산읍 화곡리 1891지선,충청남도 서산시 대산읍 화곡리 1891지선,35.2672,129.0183
350,만석낚시터,바다,충청남도 서산시 대산읍 화곡리 1845 지선,충청남도 서산시 대산읍 화곡리 1845 지선,35.2672,129.0183
351,중앙호좌대,바다,충청남도 태안군 남면 한바위길 61,충청남도 태안군 남면 한바위길 61,36.62279643,126.354434
352,태극호좌대,바다,충청남도 태안군 남면 한바위길 10-11,충청남도 태안군 남면 한바위길 10-11,36.621567,126.348669
353,백호좌대,바다,충청남도 태안군 남면 천수만로 340-54,충청남도 태안군 남면 천수만로 340-54,36.619584,126.3479666
354,토도수산,바다,충청남도 태안군 안면읍 대야로 323-45,충청남도 태안군 안면읍 대야로 323-45,36.46592426,126.4154688
355,어성,바다,충청남도 태안군 안면읍 대야로 323-7,충청남도 태안군 안면읍 대야로 323-7,36.4654124,126.414806
356,여정수산,바다,충청남도 태안군 안면읍 응지마을길 20-7,충청남도 태안군 안면읍 응지마을길 20-7,36.51758799,126.345242
357,천우수산,바다,충청남도 태안군 안면읍 대야로 304-41,충청남도 태안군 안면읍 대야로 304-41,36.46427427,126.4163916
358,대박,바다,충청남도 태안군 고남면 안면대로 4407-239,충청남도 태안군 고남면 안면대로 4407-239,36.4182042,126.428521
359,미조리,바다,충청남도 태안군 고남면 월고지길 49-7,충청남도 태안군 고남면 월고지길 49-7,36.39971346,126.4263766
360,대일,바다,충청남도 태안군 고남면 고남리 125,충청남도 태안군 고남면 고남리 125,36.407639,126.42209
361,안면도영목항,바다,충청남도 태안군 고남면 안면대로 4558,충청남도 태안군 고남면 안면대로 4558,36.400055,126.426424
362,영목수산좌대,바다,충청남도 태안군 고남면 월고지길 53,충청남도 태안군 고남면 월고지길 53,36.399587,126.4265487
363,경남수산,바다,충청남도 태안군 고남면 탄개길 33,충청남도 태안군 고남면 탄개길 33,36.40810295,126.422973
364,강남호,바다,충청남도 태안군 고남면 안면대로 4439,충청남도 태안군 고남면 안면대로 4439,36.408243,126.419369
365,호포유어,바다,충청남도 태안군 안면읍 여수해길 126-139,충청남도 태안군 안면읍 여수해길 126-139,36.55435297,126.3724757
366,의항리해상공원,바다,충청남도 태안군 소원면 송의로 698,충청남도 태안군 소원면 송의로 698,36.82964098,126.1616348
367,수평선좌대,바다,충청남도 태안군 고남면 옷점길 147-46,충청남도 태안군 고남면 옷점길 147-46,36.41310226,126.400991
368,그린바다,바다,충청남도 태안군 고남면 젓개길 274-3,충청남도 태안군 고남면 젓개길 274-3,36.435815,126.4307282
369,매일좌대,바다,충청남도 태안군 고남면 빗독2길 2,충청남도 태안군 고남면 빗독2길 2,36.423297,126.409575
370,오형제,바다,충청남도 태안군 고남면 젓개길 276-1,충청남도 태안군 고남면 젓개길 276-1,36.43592403,126.430585
371,달빛좌대,바다,충청남도 태안군 안면읍 안면대로 2984-4,충청남도 태안군 안면읍 안면대로 2984-4,36.51129018,126.347753
372,오뚜기,바다,충청남도 태안군 고남면 젓개길 276-1,충청남도 태안군 고남면 젓개길 276-1,36.43592403,126.430585
